"Table S1. Sample information including scientific name based on nuclear assignment, sex, date of collection, and latitude and longitude of sampling location. Plumage scores for samples with available data are also provided. Per sample accession numbers associated with raw mtDNA and nuclear Illumina Hiseq data are provided."														
Sample.ID	Scientific_Name	Common_Name	Nuclear_Group	Plumage_Score	Sex	Age	Country	State/Province	Longitude	Latitude	Date Collected	Genbank mtDNA Accession Num.	Genbank ddRAD Raw Read SRA	Genbank ddRAD Raw Read Accession Num.
PL3235	Anas platyrhynchos domesticus	Feral Khaki Cambpell	Domestic Mallard 1	Unavailable Data	Female		United States	TX	31.820773	-106.563246	20-Jul-17	MN734494	PRJNA591912	SAMN13391112
PL6004	Anas platyrhynchos domesticus	Feral Khaki Cambpell	Domestic Mallard 1	Unavailable Data	Female		United States	TX	31.820773	-106.563246	25-Aug-17	MN734496	PRJNA591912	SAMN13391113
PL6005	Anas platyrhynchos domesticus	Feral Khaki Cambpell	Domestic Mallard 1	Unavailable Data	Male		United States	TX	31.820773	-106.563246	25-Aug-17	MN734497	PRJNA591912	SAMN13391114
PL6006	Anas platyrhynchos domesticus	Feral Khaki Cambpell	Domestic Mallard 1	Unavailable Data	Male		United States	TX	31.820773	-106.563246	25-Aug-17	MN734498	PRJNA591912	SAMN13391115
PL6010	Anas platyrhynchos domesticus	Feral Khaki Cambpell	Domestic Mallard 1	Unavailable Data	Female		United States	TX	31.820773	-106.563246	19-Sep-17	MN734499	PRJNA591912	SAMN13391116
PL6011	Anas platyrhynchos domesticus	Feral Khaki Cambpell	Domestic Mallard 1	Unavailable Data	Male		United States	TX	31.820773	-106.563246	19-Sep-17	MN734500	PRJNA591912	SAMN13391117
PL6012	Anas platyrhynchos domesticus	Feral Khaki Cambpell	Domestic Mallard 1	Unavailable Data	Male		United States	TX	31.820773	-106.563246	19-Sep-17	MN734501	PRJNA591912	SAMN13391118
PL6013	Anas platyrhynchos domesticus	Feral Khaki Cambpell	Domestic Mallard 1	Unavailable Data	Female		United States	TX	31.820773	-106.563246	19-Sep-17	MN734502	PRJNA591912	SAMN13391119
PL6014	Anas platyrhynchos domesticus	Feral Khaki Cambpell	Domestic Mallard 1	Unavailable Data	Female		United States	TX	31.820773	-106.563246	19-Sep-17	MN734503	PRJNA591912	SAMN13391120
PL6017	Anas platyrhynchos domesticus	Feral Khaki Cambpell	Domestic Mallard 1	Unavailable Data	Male		United States	TX	31.820773	-106.563246	22-Sep-17	MN734504	PRJNA591912	SAMN13391121
PL6018	Anas platyrhynchos domesticus	Feral Khaki Cambpell	Domestic Mallard 1	Unavailable Data	Male		United States	TX	31.820773	-106.563246	22-Sep-17	MN734505	PRJNA591912	SAMN13391122
PL6019	Anas platyrhynchos domesticus	Feral Khaki Cambpell	Domestic Mallard 1	Unavailable Data	Female		United States	TX	31.820773	-106.563246	22-Sep-17	MN734506	PRJNA591912	SAMN13391123
PL6020	Anas platyrhynchos domesticus	Feral Khaki Cambpell	Domestic Mallard 1	Unavailable Data	Female		United States	TX	31.820773	-106.563246	22-Sep-17	MN734507	PRJNA591912	SAMN13391124
PL3200	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Male		United States	KY	37.802659	-84.926963	15-Feb-17	MN734475	PRJNA591912	SAMN13391125
PL3201	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Female		United States	KY	37.802659	-84.926963	15-Feb-17	MN734476	PRJNA591912	SAMN13391126
PL3202	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Female		United States	KY	37.802659	-84.926963	15-Feb-17	MN734477	PRJNA591912	SAMN13391127
PL3203	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Female		United States	KY	37.802659	-84.926963	15-Feb-17	MN734478	PRJNA591912	SAMN13391128
PL3204	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Female		United States	KY	37.802659	-84.926963	15-Feb-17	MN734479	PRJNA591912	SAMN13391129
PL3205	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Male		United States	KY	37.802659	-84.926963	15-Feb-17	MN734480	PRJNA591912	SAMN13391130
PL3206	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Male		United States	KY	37.802659	-84.926963	15-Feb-17	MN734481	PRJNA591912	SAMN13391131
PL3207	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Male		United States	KY	37.802659	-84.926963	15-Feb-17	MN734482	PRJNA591912	SAMN13391132
PL3208	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Female		United States	KY	37.802659	-84.926963	15-Feb-17	MN734483	PRJNA591912	SAMN13391133
PL3210	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Female		United States	KY	37.802659	-84.926963	15-Feb-17	MN734485	PRJNA591912	SAMN13391134
PL3211	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Male		United States	KY	37.802659	-84.926963	15-Feb-17	MN734486	PRJNA591912	SAMN13391135
PL3212	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Male		United States	KY	37.802659	-84.926963	15-Feb-17	MN734487	PRJNA591912	SAMN13391136
PL3213	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Male		United States	KY	37.802659	-84.926963	15-Feb-17	MN734488	PRJNA591912	SAMN13391137
PL3214	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Male		United States	KY	37.802659	-84.926963	15-Feb-17	MN734489	PRJNA591912	SAMN13391138
PL3215	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Female		United States	KY	37.802659	-84.926963	15-Feb-17	MN734490	PRJNA591912	SAMN13391139
PL3216	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Female		United States	KY	37.802659	-84.926963	15-Feb-17	MN734491	PRJNA591912	SAMN13391140
PL3217	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Male		United States	KY	37.802659	-84.926963	15-Feb-17	MN734492	PRJNA591912	SAMN13391141
PL3219	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Female		United States	KY	37.802659	-84.926963	15-Feb-17	MN734493	PRJNA591912	SAMN13391142
JIBNJ001	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Male		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734444	PRJNA591912	SAMN13391143
JIBNJ002	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Male		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734445	PRJNA591912	SAMN13391144
JIBNJ003	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Male		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734446	PRJNA591912	SAMN13391145
JIBNJ004	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Male		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734447	PRJNA591912	SAMN13391146
JIBNJ005	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Male		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734448	PRJNA591912	SAMN13391147
JIBNJ006	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Male		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734449	PRJNA591912	SAMN13391148
JIBNJ007	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Male		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734450	PRJNA591912	SAMN13391149
JIBNJ008	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Male		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734451	PRJNA591912	SAMN13391150
JIBNJ009	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Male		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734452	PRJNA591912	SAMN13391151
JIBNJ010	Anas platyrhynchos domesticus	Game-Farm Mallard	Domestic Mallard 2	Unavailable Data	Female		United States	NJ	40.051487	-74.504385	2-Dec-17	MN734453	PRJNA591912	SAMN13391152
